词语	词性	词频	一元概率
推行	v	12	0.000079
污染	vn	12	0.000079
限额	n	12	0.000079
相对	d	12	0.000079
询问	v	12	0.000079
杨雄	nr	12	0.000079
意识	n	12	0.000079
用品	n	12	0.000079
用途	n	12	0.000079
优化	vd	12	0.000079
有偿	b	12	0.000079
招聘会	n	12	0.000079
政府部门	n	12	0.000079
重视	v	12	0.000079
抓好	v	12	0.000079
专用	vn	12	0.000079
自己	rr	12	0.000079
1.2亿	m	11	0.000073
12月	t	11	0.000073
4月	t	11	0.000073
办公室	n	11	0.000073
办事处	n	11	0.000073
保护	v	11	0.000073
必须	d	11	0.000073
便捷	a	11	0.000073
不同	a	11	0.000073
财产	n	11	0.000073
采用	v	11	0.000073
操作	vn	11	0.000073
场馆	n	11	0.000073
常住	vn	11	0.000073
成功	a	11	0.000073
成立	vi	11	0.000073
成套	b	11	0.000073
成员	n	11	0.000073
带宽	n	11	0.000073
地理	n	11	0.000073
队伍	n	11	0.000073
对外	vn	11	0.000073
对于	p	11	0.000073
方针	n	11	0.000073
房源	n	11	0.000073
分享	v	11	0.000073
奉贤区	ns	11	0.000073
覆盖率	n	11	0.000073
改建	v	11	0.000073
概算	n	11	0.000073
工具	n	11	0.000073
工商	n	11	0.000073
公办	b	11	0.000073
公布	v	11	0.000073
公园	n	11	0.000073
管理费	n	11	0.000073
广大	b	11	0.000073
规定	v	11	0.000073
国家级	b	11	0.000073
缓解	v	11	0.000073
黄浦	ns	11	0.000073
基数	n	11	0.000073
基于	p	11	0.000073
机遇	n	11	0.000073
及时	a	11	0.000073
监督	v	11	0.000073
交付	v	11	0.000073
交易	n	11	0.000073
接入	vn	11	0.000073
金融业	n	11	0.000073
尽快	d	11	0.000073
经验	n	11	0.000073
举措	n	11	0.000073
竣工	vn	11	0.000073
科学	ad	11	0.000073
粮油	n	11	0.000073
列支	v	11	0.000073
另一方面	c	11	0.000073
目录	n	11	0.000073
拟订	v	11	0.000073
拍卖	vn	11	0.000073
平稳	a	11	0.000073
期货	n	11	0.000073
审议	v	11	0.000073
升级	vi	11	0.000073
升级	vn	11	0.000073
实物	n	11	0.000073
事业性	n	11	0.000073
税费	n	11	0.000073
死亡	vi	11	0.000073
淘汰	v	11	0.000073
特定	b	11	0.000073
条例	n	11	0.000073
统筹	vn	11	0.000073
透明度	n	11	0.000073
完整	a	11	0.000073
违规	vd	11	0.000073
稳定	v	11	0.000073
无法	v	11	0.000073
衔接	vn	11	0.000073
现行	b	11	0.000073
县政府	n	11	0.000073
线路	n	11	0.000073
相应	vi	11	0.000073
消费税	n	11	0.000073
谢谢	v	11	0.000073
信访办	n	11	0.000073
一方面	c	11	0.000073
依然	d	11	0.000073
义务教育	nl	11	0.000073
用房	n	11	0.000073
有机	d	11	0.000073
招标	vn	11	0.000073
召开	v	11	0.000073
征收	v	11	0.000073
争取	v	11	0.000073
抓住	v	11	0.000073
专户	n	11	0.000073
专利	n	11	0.000073
资助	v	11	0.000073
综合性	n	11	0.000073
把握	v	10	0.000066
采购	v	10	0.000066
差异	n	10	0.000066
拆迁	v	10	0.000066
产生	v	10	0.000066
长江	ns	10	0.000066
成交额	n	10	0.000066
出行	vi	10	0.000066
创建	v	10	0.000066
党工委	n	10	0.000066
邓小平理论	n	10	0.000066
地铁	n	10	0.000066
二期	b	10	0.000066
房地	n	10	0.000066
房地产权	n	10	0.000066
分级	v	10	0.000066
高桥	ns	10	0.000066
格局	n	10	0.000066
耕地	n	10	0.000066
公告	n	10	0.000066
公里	q	10	0.000066
公平	a	10	0.000066
广场	n	10	0.000066
国内外	s	10	0.000066
海洋	n	10	0.000066
合力	n	10	0.000066
后续	vn	10	0.000066
户口	n	10	0.000066
回落	vi	10	0.000066
或者	c	10	0.000066
机械	n	10	0.000066
加工	vn	10	0.000066
坚决	ad	10	0.000066
减免	v	10	0.000066
健康	ad	10	0.000066
接待	vn	10	0.000066
阶段性	n	10	0.000066
紧密	ad	10	0.000066
经常性	n	10	0.000066
纠纷	n	10	0.000066
救助	vn	10	0.000066
居委会	n	10	0.000066
局长	n	10	0.000066
具体	ad	10	0.000066
决策	n	10	0.000066
均衡性	n	10	0.000066
口岸	n	10	0.000066
来电	vi	10	0.000066
劳务	n	10	0.000066
力争	v	10	0.000066
了解	v	10	0.000066
内部	f	10	0.000066
内需	n	10	0.000066
年限	n	10	0.000066
农产品	n	10	0.000066
区政府	n	10	0.000066
权益	n	10	0.000066
人力	n	10	0.000066
入库	vi	10	0.000066
社保	vn	10	0.000066
审批	v	10	0.000066
室内	s	10	0.000066
收费	vi	10	0.000066
数据库	n	10	0.000066
税款	n	10	0.000066
顺利	ad	10	0.000066
思路	n	10	0.000066
特殊	a	10	0.000066
提交	v	10	0.000066
通道	n	10	0.000066
拓宽	v	10	0.000066
物价	n	10	0.000066
细则	n	10	0.000066
下一代	n	10	0.000066
现场	s	10	0.000066
现在	t	10	0.000066
协会	n	10	0.000066
协同	vn	10	0.000066
徐汇	ns	10	0.000066
宣传	vn	10	0.000066
学科	n	10	0.000066
姚某	nr	10	0.000066
业态	n	10	0.000066
已经	d	10	0.000066
有序	ad	10	0.000066
予以	vx	10	0.000066
招聘	v	10	0.000066
这些	rz	10	0.000066
针对性	n	10	0.000066
整改	vi	10	0.000066
证券	n	10	0.000066
职介	n	10	0.000066
重建	v	10	0.000066
周边	n	10	0.000066
转化	vn	10	0.000066
组成	v	10	0.000066
1.4亿	m	9	0.000059
办公厅	n	9	0.000059
保障金	n	9	0.000059
报送	v	9	0.000059
变化	vn	9	0.000059
拨付	vn	9	0.000059
草案	n	9	0.000059
查出	v	9	0.000059
查处	v	9	0.000059
差距	n	9	0.000059
产量	n	9	0.000059
程度	n	9	0.000059
诚信	a	9	0.000059
崇明	ns	9	0.000059
处置	v	9	0.000059
创业	vi	9	0.000059
存款	n	9	0.000059
大幅	d	9	0.000059
单身	n	9	0.000059
党中央	nt	9	0.000059
等级	n	9	0.000059
电机	n	9	0.000059
府发	v	9	0.000059
覆盖	vn	9	0.000059
高速公路	n	9	0.000059
个体	n	9	0.000059
工艺	n	9	0.000059
公开	a	9	0.000059
公顷	q	9	0.000059
公益	n	9	0.000059
公众	n	9	0.000059
顾问	n	9	0.000059
关注	v	9	0.000059
光纤	n	9	0.000059
广告	n	9	0.000059
核算	vn	9	0.000059
合作医疗	n	9	0.000059
虹桥	ns	9	0.000059
还有	v	9	0.000059
基站	n	9	0.000059
集体	n	9	0.000059
季度	n	9	0.000059
计划生育	nl	9	0.000059
监察	vn	9	0.000059
健身	vn	9	0.000059
建造	v	9	0.000059
接受	v	9	0.000059
节约	v	9	0.000059
金山	nr	9	0.000059
精品	n	9	0.000059
精细	ad	9	0.000059
经营	v	9	0.000059
均衡	ad	9	0.000059
科技型	b	9	0.000059
垃圾	n	9	0.000059
理财	vi	9	0.000059
旅馆	n	9	0.000059
旅客	n	9	0.000059
履行	v	9	0.000059
没有	v	9	0.000059
面临	v	9	0.000059
明显	a	9	0.000059
纳税	vn	9	0.000059
评审	vn	9	0.000059
期末	t	9	0.000059
前提	n	9	0.000059
区长	n	9	0.000059
日益	d	9	0.000059
如果	c	9	0.000059
三级	b	9	0.000059
商贸	n	9	0.000059
上市	vn	9	0.000059
申报	v	9	0.000059
审核	v	9	0.000059
十三	m	9	0.000059
十五	m	9	0.000059
世界	n	9	0.000059
收到	v	9	0.000059
收集	v	9	0.000059
税务局	n	9	0.000059
说明	v	9	0.000059
私营	b	9	0.000059
随着	p	9	0.000059
替代	v	9	0.000059
投融资	n	9	0.000059
退休	vn	9	0.000059
吞吐量	n	9	0.000059
稳定	a	9	0.000059
系列	q	9	0.000059
下午	t	9	0.000059
现象	n	9	0.000059
销售额	n	9	0.000059
信贷	n	9	0.000059
形式	n	9	0.000059
性能	n	9	0.000059
休闲	vn	9	0.000059
药品	n	9	0.000059
一致	a	9	0.000059
以来	f	9	0.000059
营销	vn	9	0.000059
优先	vn	9	0.000059
有所	v	9	0.000059
张江	nr	9	0.000059
张某	nr	9	0.000059
整个	b	9	0.000059
正常	a	9	0.000059
正式	ad	9	0.000059
证明	v	9	0.000059
之一	rz	9	0.000059
主任	n	9	0.000059
专栏	n	9	0.000059
综合治理	vl	9	0.000059
0.7亿	m	8	0.000053
1.1亿	m	8	0.000053
1.5亿	m	8	0.000053
1亿	m	8	0.000053
2005年	t	8	0.000053
71亿	m	8	0.000053
8日	t	8	0.000053
microsoft	n	8	0.000053
ns	n	8	0.000053
prefix	a	8	0.000053
帮助	v	8	0.000053
博物馆	n	8	0.000053
财经	n	8	0.000053
菜田	n	8	0.000053
城管	n	8	0.000053
处于	v	8	0.000053
传输	vn	8	0.000053
大都市	n	8	0.000053
带来	v	8	0.000053
当前	t	8	0.000053
登记	v	8	0.000053
地位	n	8	0.000053
地下	s	8	0.000053
电厂	n	8	0.000053
奠定	v	8	0.000053
二级	b	8	0.000053
方向	n	8	0.000053
废物	n	8	0.000053
分配	v	8	0.000053
钢铁	n	8	0.000053
港口	n	8	0.000053
高级	a	8	0.000053
各方	r	8	0.000053
工程师	n	8	0.000053
工商户	n	8	0.000053
功能性	n	8	0.000053
供水	vn	8	0.000053
公安	n	8	0.000053
公积金	n	8	0.000053
公立	b	8	0.000053
固定	a	8	0.000053
管线	n	8	0.000053
规范性	n	8	0.000053
国土	n	8	0.000053
互通	v	8	0.000053
嘉定	ns	8	0.000053
价款	n	8	0.000053
监理	vn	8	0.000053
检查	v	8	0.000053
建筑物	n	8	0.000053
降耗	v	8	0.000053
解释	vn	8	0.000053
净收入	n	8	0.000053
居民区	n	8	0.000053
巨人	n	8	0.000053
具备	v	8	0.000053
决定	n	8	0.000053
抗震救灾	vl	8	0.000053
来自	v	8	0.000053
劳动力	n	8	0.000053
利润	n	8	0.000053
联系	vn	8	0.000053
列入	v	8	0.000053
领先	vn	8	0.000053
流通	vn	8	0.000053
楼宇	n	8	0.000053
陆家嘴	ns	8	0.000053
没有	d	8	0.000053
内河	n	8	0.000053
排污费	n	8	0.000053
瓶颈	n	8	0.000053
普遍	ad	8	0.000053
普查	vn	8	0.000053
浦东新区	ns	8	0.000053
青浦区	ns	8	0.000053
清理	vn	8	0.000053
上午	t	8	0.000053
十二	m	8	0.000053
实践	vn	8	0.000053
实时	n	8	0.000053
世博	nr2	8	0.000053
世博园	n	8	0.000053
事务所	n	8	0.000053
适时	ad	8	0.000053
市场化	vn	8	0.000053
市属	b	8	0.000053
视频	n	8	0.000053
属地	n	8	0.000053
水源	n	8	0.000053
税率	n	8	0.000053
挑战	vn	8	0.000053
统筹	v	8	0.000053
统一	v	8	0.000053
退税	vn	8	0.000053
位于	v	8	0.000053
文艺	n	8	0.000053
污染	v	8	0.000053
现金	n	8	0.000053
相互	d	8	0.000053
小组	n	8	0.000053
效果	n	8	0.000053
协议	n	8	0.000053
新城	n	8	0.000053
学习	v	8	0.000053
严格	a	8	0.000053
严重	a	8	0.000053
央行	n	8	0.000053
养老金	n	8	0.000053
艺术	n	8	0.000053
义务	n	8	0.000053
有限	a	8	0.000053
有效性	n	8	0.000053
预售	vn	8	0.000053
在线	vn	8	0.000053
增速	n	8	0.000053
掌握	v	8	0.000053
指挥	vn	8	0.000053
志愿	n	8	0.000053
秩序	n	8	0.000053
中低收入	n	8	0.000053
中共中央	nt	8	0.000053
中华人民共和国	ns	8	0.000053
仲裁	vn	8	0.000053
主副食品	n	8	0.000053
准备	vn	8	0.000053
着手	v	8	0.000053
自身	rr	8	0.000053
组建	v	8	0.000053
最后	f	8	0.000053
闵行区	ns	8	0.000053
0.1亿	m	7	0.000046
0.6亿	m	7	0.000046
100万	m	7	0.000046
1万	m	7	0.000046
30日	t	7	0.000046
31日	t	7	0.000046
7月	t	7	0.000046
permil	n	7	0.000046
安置	v	7	0.000046
百姓	n	7	0.000046
本人	rr	7	0.000046
编制	v	7	0.000046
并举	vi	7	0.000046
不够	a	7	0.000046
不严	a	7	0.000046
参展	vn	7	0.000046
仓库	n	7	0.000046
产学研	n	7	0.000046
场所	n	7	0.000046
超预算	b	7	0.000046
成功	ad	7	0.000046
出租	v	7	0.000046
处罚	vn	7	0.000046
处理厂	n	7	0.000046
船舶	n	7	0.000046
窗口	s	7	0.000046
地面	n	7	0.000046
地税局	n	7	0.000046
地震	n	7	0.000046
电工	n	7	0.000046
电网	n	7	0.000046
定期	d	7	0.000046
东方	s	7	0.000046
多次	mq	7	0.000046
多渠道	d	7	0.000046
儿童	n	7	0.000046
发行	vn	7	0.000046
访问	v	7	0.000046
非农	b	7	0.000046
分步	vd	7	0.000046
分局	n	7	0.000046
分析	v	7	0.000046
改进	v	7	0.000046
感知	vn	7	0.000046
搞好	v	7	0.000046
个别	a	7	0.000046
各区	r	7	0.000046
各位	rr	7	0.000046
公房	n	7	0.000046
股份	n	7	0.000046
关键	a	7	0.000046
管网	n	7	0.000046
锅炉	n	7	0.000046
国家税务总局	nt	7	0.000046
和谐	an	7	0.000046
化学	n	7	0.000046
环保局	n	7	0.000046
汇编	vi	7	0.000046
汇总	vn	7	0.000046
货币	n	7	0.000046
基金会	n	7	0.000046
基准	n	7	0.000046
家园	n	7	0.000046
加速	vd	7	0.000046
坚强	a	7	0.000046
交易额	n	7	0.000046
秸秆	n	7	0.000046
解读	v	7	0.000046
金山区	ns	7	0.000046
静安区	ns	7	0.000046
咖啡	n	7	0.000046
开征	v	7	0.000046
客户	n	7	0.000046
快速	d	7	0.000046
宽带	b	7	0.000046
来信	n	7	0.000046
老年	t	7	0.000046
类型	n	7	0.000046
理顺	v	7	0.000046
利益	n	7	0.000046
力量	n	7	0.000046
联动	v	7	0.000046
联系	v	7	0.000046
连续	a	7	0.000046
林业	n	7	0.000046
临时	b	7	0.000046
龙港	ns	7	0.000046
落户	vi	7	0.000046
码头	n	7	0.000046
满意	v	7	0.000046
密切	ad	7	0.000046
民族	n	7	0.000046
难以	d	7	0.000046
能够	v	7	0.000046
农场	n	7	0.000046
农民工	n	7	0.000046
普及	vn	7	0.000046
期限	n	7	0.000046
起来	vf	7	0.000046
企事业	n	7	0.000046
气象	n	7	0.000046
清理	v	7	0.000046
区级	b	7	0.000046
全方位	n	7	0.000046
缺乏	v	7	0.000046
人群	n	7	0.000046
人事	n	7	0.000046
融资	vi	7	0.000046
赛事	n	7	0.000046
十七	m	7	0.000046
石化	n	7	0.000046
事前	t	7	0.000046
司法	n	7	0.000046
所在	n	7	0.000046
特此	d	7	0.000046
提升	vn	7	0.000046
听取	v	7	0.000046
通过	v	7	0.000046
同意	v	7	0.000046
统计	v	7	0.000046
统计局	n	7	0.000046
投资者	n	7	0.000046
外高桥	ns	7	0.000046
外汇	n	7	0.000046
网络化	vn	7	0.000046
网球	n	7	0.000046
违反	v	7	0.000046
未经	d	7	0.000046
污染物	n	7	0.000046
污染源	n	7	0.000046
务工人员	n	7	0.000046
下发	v	7	0.000046
现有	vn	7	0.000046
相继	d	7	0.000046
芯片	n	7	0.000046
性质	n	7	0.000046
选择	v	7	0.000046
学历	n	7	0.000046
压力	n	7	0.000046
延长	v	7	0.000046
延伸	vn	7	0.000046
要素	n	7	0.000046
一次性	d	7	0.000046
引导	vn	7	0.000046
隐患	n	7	0.000046
印发	v	7	0.000046
影响力	n	7	0.000046
有线电视	n	7	0.000046
岳母	n	7	0.000046
责任制	n	7	0.000046
增量	n	7	0.000046
增收	v	7	0.000046
扎实	ad	7	0.000046
闸北区	ns	7	0.000046
张江	ns	7	0.000046
招标	vi	7	0.000046
镇政府	n	7	0.000046
智慧	n	7	0.000046
中国馆	n	7	0.000046
周期	n	7	0.000046
主导	n	7	0.000046
住宿	vn	7	0.000046
抓手	n	7	0.000046
装修	v	7	0.000046
做到	v	7	0.000046
0.2亿	m	6	0.00004
0.8亿	m	6	0.00004
1000万	m	6	0.00004
13.2亿	m	6	0.00004
2.6亿	m	6	0.00004
2003年	t	6	0.00004
33.1亿	m	6	0.00004
5.7亿	m	6	0.00004
IPv6	n	6	0.00004
NGB	n	6	0.00004
office	n	6	0.00004
搬迁	v	6	0.00004
办学	vn	6	0.00004
保费	n	6	0.00004
保险业	n	6	0.00004
保证	v	6	0.00004
备案	vn	6	0.00004
变更	v	6	0.00004
宾馆	n	6	0.00004
补贴	v	6	0.00004
不足	an	6	0.00004
采集	vn	6	0.00004
策划	vn	6	0.00004
测评	vn	6	0.00004
拆迁	vn	6	0.00004
常住	v	6	0.00004
长宁区	ns	6	0.00004
长期	b	6	0.00004
长兴	ns	6	0.00004
长远	an	6	0.00004
超出	v	6	0.00004
成片	v	6	0.00004
呈现	v	6	0.00004
充实	v	6	0.00004
抽样调查	vl	6	0.00004
出具	v	6	0.00004
出行	vn	6	0.00004
出资	vi	6	0.00004
待遇	n	6	0.00004
担任	v	6	0.00004
但是	c	6	0.00004
党委	n	6	0.00004
导致	v	6	0.00004
地址	n	6	0.00004
电脑	n	6	0.00004
电梯	n	6	0.00004
独立	a	6	0.00004
度假	vn	6	0.00004
对外	vd	6	0.00004
罚没	vn	6	0.00004
返还	v	6	0.00004
房地产业	n	6	0.00004
房价	n	6	0.00004
放宽	v	6	0.00004
丰富	a	6	0.00004
负责人	n	6	0.00004
附属	vn	6	0.00004
改变	v	6	0.00004
高度	d	6	0.00004
跟踪	vn	6	0.00004
贡献	n	6	0.00004
共同	b	6	0.00004
共享	vn	6	0.00004
购物	vn	6	0.00004
股票	n	6	0.00004
股权	n	6	0.00004
挂钩	vi	6	0.00004
管理员	n	6	0.00004
航天	n	6	0.00004
合法	a	6	0.00004
互动	vn	6	0.00004
互联	vn	6	0.00004
换乘	vn	6	0.00004
黄金	n	6	0.00004
惠及	v	6	0.00004
惠民	ns	6	0.00004
活力	n	6	0.00004
激励	vn	6	0.00004
集约化	vn	6	0.00004
集中	vn	6	0.00004
集装箱	n	6	0.00004
计算机	n	6	0.00004
家电	n	6	0.00004
交纳	v	6	0.00004
教学	vn	6	0.00004
较为	d	6	0.00004
结算	v	6	0.00004
解决	vn	6	0.00004
介绍	v	6	0.00004
进程	n	6	0.00004
竞争	vn	6	0.00004
居住区	n	6	0.00004
俱乐部	n	6	0.00004
均等	vn	6	0.00004
开始	v	6	0.00004
科学化	v	6	0.00004
可信	a	6	0.00004
客运	n	6	0.00004
课程	n	6	0.00004
来源	n	6	0.00004
劳保	n	6	0.00004
劳动者	n	6	0.00004
类别	n	6	0.00004
利息	n	6	0.00004
立足	vi	6	0.00004
联合	vd	6	0.00004
粮田	n	6	0.00004
零售业	n	6	0.00004
领先	vi	6	0.00004
龙头	n	6	0.00004
落后	a	6	0.00004
落实	vn	6	0.00004
满意度	n	6	0.00004
密码	n	6	0.00004
民用	b	6	0.00004
民主	an	6	0.00004
名义	n	6	0.00004
名字	n	6	0.00004
目的	n	6	0.00004
能否	v	6	0.00004
纽约	nsf	6	0.00004
农林	n	6	0.00004
盘活	v	6	0.00004
配备	v	6	0.00004
配套	vd	6	0.00004
评价	v	6	0.00004
潜力	n	6	0.00004
清单	n	6	0.00004
区委	n	6	0.00004
取消	v	6	0.00004
燃煤	vn	6	0.00004
人代会	n	6	0.00004
人民币	n	6	0.00004
任何	rz	6	0.00004
认为	v	6	0.00004
上升	vi	6	0.00004
上市	vi	6	0.00004
少数	m	6	0.00004
申请	n	6	0.00004
身份	n	6	0.00004
生产者	n	6	0.00004
失业	vn	6	0.00004
十分	d	6	0.00004
十六	m	6	0.00004
十一	m	6	0.00004
事宜	n	6	0.00004
试行	vn	6	0.00004
手机	n	6	0.00004
蔬菜	n	6	0.00004
书面	b	6	0.00004
素质	n	6	0.00004
隧道	n	6	0.00004
所在地	n	6	0.00004
停车费	n	6	0.00004
通讯	n	6	0.00004
突出	v	6	0.00004
途径	n	6	0.00004
外部	f	6	0.00004
危机	n	6	0.00004
危险	a	6	0.00004
围墙	n	6	0.00004
委托	v	6	0.00004
未来	t	6	0.00004
屋顶	n	6	0.00004
吸引	v	6	0.00004
下级	n	6	0.00004
先后	d	6	0.00004
先行	vd	6	0.00004
先行	vi	6	0.00004
显现	v	6	0.00004
相抵	vi	6	0.00004
削减	v	6	0.00004
小于	v	6	0.00004
协同	v	6	0.00004
新疆	ns	6	0.00004
修建	v	6	0.00004
许可	vn	6	0.00004
延伸	v	6	0.00004
杨浦	ns	6	0.00004
一次性	b	6	0.00004
依据	p	6	0.00004
遗留	vn	6	0.00004
遗失	v	6	0.00004
以后	f	6	0.00004
以前	f	6	0.00004
音乐	n	6	0.00004
引入	v	6	0.00004
应对	v	6	0.00004
邮政	n	6	0.00004
预付	v	6	0.00004
预算法	n	6	0.00004
预算外	b	6	0.00004
圆满	ad	6	0.00004
责成	v	6	0.00004
照明	n	6	0.00004
直接	a	6	0.00004
执业	vn	6	0.00004
中共	n	6	0.00004
中期	f	6	0.00004
重复	vd	6	0.00004
周禹鹏	nr	6	0.00004
主线	n	6	0.00004
专家	n	6	0.00004
专题	n	6	0.00004
转换	vn	6	0.00004
准确	a	6	0.00004
着力	vi	6	0.00004
着眼	vi	6	0.00004
总产	n	6	0.00004
总结	v	6	0.00004
租赁	v	6	0.00004
足额	vd	6	0.00004
10亿	m	5	0.000033
11月	t	5	0.000033
2.4亿	m	5	0.000033
2015年	t	5	0.000033
23日	t	5	0.000033
29日	t	5	0.000033
3.5亿	m	5	0.000033
3.9亿	m	5	0.000033
3日	t	5	0.000033
3月	t	5	0.000033
5.6亿	m	5	0.000033
5日	t	5	0.000033
8.1亿	m	5	0.000033
urn:schemas	n	5	0.000033
xml:namespace	n	5	0.000033
安居工程	n	5	0.000033
安全性	n	5	0.000033
安装	v	5	0.000033
办事	vn	5	0.000033
帮扶	vn	5	0.000033
保健	n	5	0.000033
北京	ns	5	0.000033
本地	rzs	5	0.000033
本科	n	5	0.000033
便利	a	5	0.000033
便利	an	5	0.000033
变更	vn	5	0.000033
标准箱	n	5	0.000033
步伐	n	5	0.000033
菜场	n	5	0.000033
餐厅	n	5	0.000033
餐饮业	n	5	0.000033
仓储	vn	5	0.000033
场地	n	5	0.000033
常务	b	5	0.000033
超级	b	5	0.000033
车载	b	5	0.000033
承包	vn	5	0.000033
承租	v	5	0.000033
崇明县	ns	5	0.000033
筹备	vn	5	0.000033
出现	v	5	0.000033
出租	vn	5	0.000033
厨师	n	5	0.000033
传媒	n	5	0.000033
创意	n	5	0.000033
答复	vd	5	0.000033
大局	n	5	0.000033
带动	vn	5	0.000033
党代会	n	5	0.000033
党建	n	5	0.000033
党务	n	5	0.000033
第四	m	5	0.000033
电价	n	5	0.000033
电影院	n	5	0.000033
店铺	n	5	0.000033
调度	vn	5	0.000033
调解	v	5	0.000033
调研	vn	5	0.000033
动力	n	5	0.000033
动员	v	5	0.000033
二氧化硫	n	5	0.000033
防范	v	5	0.000033
防治	vn	5	0.000033
非常	d	5	0.000033
非公有制	b	5	0.000033
分离	vi	5	0.000033
辅助	vn	5	0.000033
复印件	n	5	0.000033
富余	vn	5	0.000033
钢材	n	5	0.000033
高等教育	nl	5	0.000033
各行各业	nl	5	0.000033
工矿	b	5	0.000033
攻关	vn	5	0.000033
攻坚	vn	5	0.000033
公寓	n	5	0.000033
共性	n	5	0.000033
沟通	v	5	0.000033
固体	n	5	0.000033
关心	v	5	0.000033
广泛	a	5	0.000033
广泛	ad	5	0.000033
航道	n	5	0.000033
航空	n	5	0.000033
合作	v	5	0.000033
后勤	n	5	0.000033
呼叫	v	5	0.000033
护理	vn	5	0.000033
华东	ns	5	0.000033
划分	v	5	0.000033
环球	n	5	0.000033
环卫	n	5	0.000033
环线	n	5	0.000033
会议费	n	5	0.000033
会展	n	5	0.000033
机动车	n	5	0.000033
积极性	n	5	0.000033
集约	vd	5	0.000033
疾病	n	5	0.000033
计算中心	n	5	0.000033
记录	n	5	0.000033
坚实	a	5	0.000033
艰巨	a	5	0.000033
检测	vn	5	0.000033
简称	v	5	0.000033
建房	vn	5	0.000033
建议	v	5	0.000033
交通运输业	n	5	0.000033
交易所	n	5	0.000033
接入	v	5	0.000033
结构性	n	5	0.000033
结果	d	5	0.000033
今后	t	5	0.000033
近期	t	5	0.000033
精细	a	5	0.000033
景观	n	5	0.000033
就近	d	5	0.000033
居家	v	5	0.000033
捐赠	v	5	0.000033
决定	v	5	0.000033
开发区	n	5	0.000033
科技类	n	5	0.000033
可行性	n	5	0.000033
跨国公司	n	5	0.000033
扩建	vn	5	0.000033
理解	vn	5	0.000033
里弄	n	5	0.000033
利于	v	5	0.000033
立项	vi	5	0.000033
联手	vi	5	0.000033
良种	n	5	0.000033
另外	c	5	0.000033
漏水	vi	5	0.000033
鲁迅	nr	5	0.000033
论坛	n	5	0.000033
买卖	vn	5	0.000033
梅园	nr	5	0.000033
每月	r	5	0.000033
门票	n	5	0.000033
面对	v	5	0.000033
民营	b	5	0.000033
难度	n	5	0.000033
难题	n	5	0.000033
内外	f	5	0.000033
内外资	n	5	0.000033
你好	vl	5	0.000033
你们	rr	5	0.000033
年底	t	5	0.000033
您好	nl	5	0.000033
农副产品	n	5	0.000033
农委	n	5	0.000033
欧洲	ns	5	0.000033
排放	vn	5	0.000033
配送	vn	5	0.000033
频率	n	5	0.000033
评估	v	5	0.000033
普及率	n	5	0.000033
齐全	a	5	0.000033
千瓦	q	5	0.000033
轻工业	n	5	0.000033
权力	n	5	0.000033
全会	n	5	0.000033
扰民	v	5	0.000033
仍然	d	5	0.000033
入手	vi	5	0.000033
赡养	vn	5	0.000033
上访	v	5	0.000033
上级	n	5	0.000033
涉农	vn	5	0.000033
涉外	vn	5	0.000033
社会化	vn	5	0.000033
设置	v	5	0.000033
深水港	n	5	0.000033
审查	vn	5	0.000033
生产能力	nl	5	0.000033
生命	n	5	0.000033
省际	b	5	0.000033
失业率	n	5	0.000033
石油	n	5	0.000033
实事	n	5	0.000033
实验室	n	5	0.000033
示范区	n	5	0.000033
适当	ad	5	0.000033
市场经济	n	5	0.000033
试行	v	5	0.000033
收回	v	5	0.000033
属于	v	5	0.000033
水稻	n	5	0.000033
税制	n	5	0.000033
税种	n	5	0.000033
松江	ns	5	0.000033
松江区	ns	5	0.000033
损失	n	5	0.000033
缩小	v	5	0.000033
他们	rr	5	0.000033
态势	n	5	0.000033
套数	n	5	0.000033
特征	n	5	0.000033
天然气	n	5	0.000033
田林	ns	5	0.000033
停车	vn	5	0.000033
投机性	n	5	0.000033
图书馆	n	5	0.000033
退休	v	5	0.000033
完整	an	5	0.000033
完整性	n	5	0.000033
违章	vn	5	0.000033
维修	v	5	0.000033
稳妥	a	5	0.000033
物质	n	5	0.000033
西藏	ns	5	0.000033
相当于	v	5	0.000033
消除	v	5	0.000033
信心	n	5	0.000033
虚拟	vn	5	0.000033
验收	v	5	0.000033
一体化	vi	5	0.000033
医师	n	5	0.000033
抑制	v	5	0.000033
意愿	n	5	0.000033
印象	n	5	0.000033
硬件	n	5	0.000033
用地	vn	5	0.000033
优美	a	5	0.000033
优质	b	5	0.000033
邮电	n	5	0.000033
有的	rz	5	0.000033
有望	v	5	0.000033
预案	n	5	0.000033
预备费	n	5	0.000033
预测	vn	5	0.000033
原材料	n	5	0.000033
原件	n	5	0.000033
员工	n	5	0.000033
载体	n	5	0.000033
再次	d	5	0.000033
噪音	n	5	0.000033
赠与	v	5	0.000033
涨幅	n	5	0.000033
障碍	n	5	0.000033
招收	v	5	0.000033
征集	vn	5	0.000033
征询	v	5	0.000033
政策性	n	5	0.000033
政法	n	5	0.000033
政协	n	5	0.000033
支出	v	5	0.000033
制造	v	5	0.000033
种粮	vn	5	0.000033
种植	vn	5	0.000033
周太彤	nr	5	0.000033
主动	ad	5	0.000033
住院	vn	5	0.000033
专业化	vn	5	0.000033
转化	v	5	0.000033
装配式	n	5	0.000033
装修	vn	5	0.000033
状态	n	5	0.000033
追究	v	5	0.000033
准备	v	5	0.000033
