词语	词性	词频	一元概率
多年	mq	1	0.000074
多少	ry	1	0.000074
二级	b	1	0.000074
发包	vi	1	0.000074
发布会	n	1	0.000074
罚款	vn	1	0.000074
法定	b	1	0.000074
反馈	v	1	0.000074
反映	v	1	0.000074
返工	vi	1	0.000074
范畴	n	1	0.000074
方便	a	1	0.000074
房产	n	1	0.000074
房地	n	1	0.000074
防火	vn	1	0.000074
防汛	vn	1	0.000074
放开	v	1	0.000074
分别	d	1	0.000074
分解	v	1	0.000074
分类	vn	1	0.000074
分享	v	1	0.000074
风波	n	1	0.000074
风貌	n	1	0.000074
风险	n	1	0.000074
服务业	n	1	0.000074
覆盖	v	1	0.000074
覆盖	vn	1	0.000074
复工	vi	1	0.000074
改变	vn	1	0.000074
改建	v	1	0.000074
改正	v	1	0.000074
高处	s	1	0.000074
高精尖	b	1	0.000074
高考	vn	1	0.000074
高速	b	1	0.000074
告诉	v	1	0.000074
革新	vn	1	0.000074
个别	a	1	0.000074
给水	vn	1	0.000074
根本	n	1	0.000074
根源	n	1	0.000074
跟踪	v	1	0.000074
工程师	n	1	0.000074
工矿	b	1	0.000074
工期	n	1	0.000074
工业	n	1	0.000074
供热	vn	1	0.000074
供需	n	1	0.000074
供应商	n	1	0.000074
公房	n	1	0.000074
公顷	q	1	0.000074
公有	b	1	0.000074
巩固	v	1	0.000074
贡献	n	1	0.000074
共同	d	1	0.000074
共享	v	1	0.000074
构建	v	1	0.000074
构筑	v	1	0.000074
购买	vn	1	0.000074
购置	v	1	0.000074
古都	n	1	0.000074
关键	a	1	0.000074
关键	n	1	0.000074
关注	vn	1	0.000074
管材	n	1	0.000074
规定	v	1	0.000074
规范	v	1	0.000074
规格	n	1	0.000074
规则	n	1	0.000074
规章制度	nl	1	0.000074
归集	vn	1	0.000074
轨道	n	1	0.000074
国际	n	1	0.000074
国家标准	n	1	0.000074
国家机关	nl	1	0.000074
国有	vn	1	0.000074
过半	vi	1	0.000074
过渡	vi	1	0.000074
毫不动摇	vl	1	0.000074
好事	n	1	0.000074
好听	a	1	0.000074
核定	v	1	0.000074
核发	v	1	0.000074
核减	v	1	0.000074
核算	v	1	0.000074
核算	vn	1	0.000074
和谐	a	1	0.000074
和谐	ad	1	0.000074
合身	a	1	0.000074
合作	vn	1	0.000074
黑幕	n	1	0.000074
后顾之忧	nl	1	0.000074
后勤	n	1	0.000074
划分	vn	1	0.000074
欢迎	v	1	0.000074
欢迎	vn	1	0.000074
恢复	v	1	0.000074
回访	vn	1	0.000074
回复	v	1	0.000074
回迁	vn	1	0.000074
回升	v	1	0.000074
回应	vn	1	0.000074
惠民生	nr	1	0.000074
会议	n	1	0.000074
获取	v	1	0.000074
货币化	vn	1	0.000074
基础性	n	1	0.000074
基座	n	1	0.000074
机会	n	1	0.000074
机械化	vn	1	0.000074
积极	a	1	0.000074
集团	n	1	0.000074
集资	vn	1	0.000074
即可	v	1	0.000074
即使	c	1	0.000074
计划	v	1	0.000074
计价	vn	1	0.000074
计量	vn	1	0.000074
计算	v	1	0.000074
记录	n	1	0.000074
记录	v	1	0.000074
既有	v	1	0.000074
监察	vn	1	0.000074
监督	v	1	0.000074
监管部门	n	1	0.000074
简易	a	1	0.000074
减负	vn	1	0.000074
鉴定	vn	1	0.000074
健康	an	1	0.000074
建房	vn	1	0.000074
奖励	vn	1	0.000074
降幅	n	1	0.000074
交底	vi	1	0.000074
交往	vn	1	0.000074
交易	n	1	0.000074
交易	vn	1	0.000074
脚步	n	1	0.000074
教唆	v	1	0.000074
教育	v	1	0.000074
接近	v	1	0.000074
节约	vd	1	0.000074
节奏	n	1	0.000074
结合部	n	1	0.000074
结婚	vi	1	0.000074
解答	v	1	0.000074
解读	v	1	0.000074
解放思想	vl	1	0.000074
解释	vn	1	0.000074
界限	n	1	0.000074
介入	v	1	0.000074
今后	t	1	0.000074
紧紧	d	1	0.000074
紧密	ad	1	0.000074
仅仅	d	1	0.000074
进步	vn	1	0.000074
进程	n	1	0.000074
近年来	dl	1	0.000074
近日	t	1	0.000074
尽量	d	1	0.000074
精细	ad	1	0.000074
经验	n	1	0.000074
景观	n	1	0.000074
竞买	vn	1	0.000074
纠正	vn	1	0.000074
救助	vn	1	0.000074
就是	v	1	0.000074
局面	n	1	0.000074
举报	v	1	0.000074
具备	v	1	0.000074
具体	ad	1	0.000074
决定	v	1	0.000074
均衡	an	1	0.000074
竣工	vn	1	0.000074
开发区	n	1	0.000074
开放	v	1	0.000074
开工	vn	1	0.000074
勘探	vn	1	0.000074
考察	v	1	0.000074
考量	vi	1	0.000074
考虑	v	1	0.000074
考试	vn	1	0.000074
考验	vn	1	0.000074
科学	a	1	0.000074
科学	n	1	0.000074
可比价格	nl	1	0.000074
可用	v	1	0.000074
客观	n	1	0.000074
库存	n	1	0.000074
快速	b	1	0.000074
宽泛	a	1	0.000074
困难	an	1	0.000074
扩大	v	1	0.000074
来京	v	1	0.000074
来说	uls	1	0.000074
浪费	vn	1	0.000074
劳动者	n	1	0.000074
老干部	n	1	0.000074
老鼠	n	1	0.000074
累计	vd	1	0.000074
离异	vi	1	0.000074
理顺	v	1	0.000074
利率	n	1	0.000074
利益	n	1	0.000074
利用率	n	1	0.000074
立即	d	1	0.000074
力保	v	1	0.000074
力气	n	1	0.000074
力争	v	1	0.000074
联合	vd	1	0.000074
连续	ad	1	0.000074
良好	a	1	0.000074
两侧	f	1	0.000074
零点五	m	1	0.000074
灵活	ad	1	0.000074
领导	n	1	0.000074
另行	d	1	0.000074
流通	vn	1	0.000074
录入	v	1	0.000074
履行	v	1	0.000074
绿色	n	1	0.000074
论证	vn	1	0.000074
落户	vi	1	0.000074
迈出	v	1	0.000074
迈进	vi	1	0.000074
满庭芳	nr	1	0.000074
没有	d	1	0.000074
每个	r	1	0.000074
每年	r	1	0.000074
每周	r	1	0.000074
门槛	n	1	0.000074
蒙受	v	1	0.000074
弥补	v	1	0.000074
免征	v	1	0.000074
明确	a	1	0.000074
明确	v	1	0.000074
谋划	v	1	0.000074
哪些	ry	1	0.000074
难点	n	1	0.000074
能否	v	1	0.000074
能够	v	1	0.000074
能耗	n	1	0.000074
能源	n	1	0.000074
农村	n	1	0.000074
牌子	n	1	0.000074
攀升	v	1	0.000074
赔付	vn	1	0.000074
配售	v	1	0.000074
配套	a	1	0.000074
配套	vn	1	0.000074
配置	v	1	0.000074
频出	v	1	0.000074
频度	n	1	0.000074
品牌	n	1	0.000074
平稳	an	1	0.000074
评价	v	1	0.000074
普遍	a	1	0.000074
期待	v	1	0.000074
欺诈	vn	1	0.000074
启动	v	1	0.000074
签字	vn	1	0.000074
前端	f	1	0.000074
强烈	a	1	0.000074
抢占	v	1	0.000074
切实	a	1	0.000074
轻信	v	1	0.000074
清理	v	1	0.000074
区位	n	1	0.000074
曲解	vn	1	0.000074
取样	vn	1	0.000074
全都	d	1	0.000074
全会	n	1	0.000074
全力	d	1	0.000074
全体	n	1	0.000074
确认	vn	1	0.000074
确实	ad	1	0.000074
群体	n	1	0.000074
让利	v	1	0.000074
热点	n	1	0.000074
人才	n	1	0.000074
人群	n	1	0.000074
人人	n	1	0.000074
任何	rz	1	0.000074
任由	v	1	0.000074
认定	v	1	0.000074
认购	v	1	0.000074
认可	vn	1	0.000074
认识	v	1	0.000074
仍旧	d	1	0.000074
日报	n	1	0.000074
日照	ns	1	0.000074
融资	vn	1	0.000074
如非	nr	1	0.000074
如实	d	1	0.000074
如下	vn	1	0.000074
入市	v	1	0.000074
三类	b	1	0.000074
散布	v	1	0.000074
砂浆	n	1	0.000074
擅自	d	1	0.000074
商业	n	1	0.000074
上百	m	1	0.000074
上当	vi	1	0.000074
上涨	vi	1	0.000074
上涨	vn	1	0.000074
尚未	d	1	0.000074
设立	v	1	0.000074
设置	v	1	0.000074
身边	s	1	0.000074
审定	v	1	0.000074
十分	d	1	0.000074
十九	m	1	0.000074
十六	m	1	0.000074
十七	m	1	0.000074
时期	n	1	0.000074
时限	n	1	0.000074
实质性	n	1	0.000074
示范区	n	1	0.000074
世界	n	1	0.000074
势头	n	1	0.000074
适度	a	1	0.000074
适度	ad	1	0.000074
市级	b	1	0.000074
市民	n	1	0.000074
市容	n	1	0.000074
视察	v	1	0.000074
视为	v	1	0.000074
首先	c	1	0.000074
受骗	vi	1	0.000074
梳理	v	1	0.000074
输入	v	1	0.000074
熟悉	v	1	0.000074
属性	n	1	0.000074
数据	n	1	0.000074
数值	n	1	0.000074
数字	n	1	0.000074
双轨	b	1	0.000074
顺义	nr	1	0.000074
素质	n	1	0.000074
速度	n	1	0.000074
随后	d	1	0.000074
随时	d	1	0.000074
随着	p	1	0.000074
所谓	v	1	0.000074
套房	n	1	0.000074
特征	n	1	0.000074
提前	v	1	0.000074
提前	vd	1	0.000074
题款	n	1	0.000074
填报	v	1	0.000074
听取	v	1	0.000074
停下	v	1	0.000074
停止	v	1	0.000074
通道	n	1	0.000074
同步	vi	1	0.000074
同等	b	1	0.000074
同期	f	1	0.000074
同心协力	vl	1	0.000074
同样	d	1	0.000074
统筹	v	1	0.000074
统筹	vn	1	0.000074
统计	v	1	0.000074
统一	ad	1	0.000074
统一	vn	1	0.000074
透明	a	1	0.000074
凸显	v	1	0.000074
土方	n	1	0.000074
推出	v	1	0.000074
推广	v	1	0.000074
退出	v	1	0.000074
拖累	vn	1	0.000074
外来	b	1	0.000074
完全	ad	1	0.000074
往往	d	1	0.000074
忘记	v	1	0.000074
危房	n	1	0.000074
违规	v	1	0.000074
违规	vd	1	0.000074
违约	vi	1	0.000074
维护	v	1	0.000074
维修	vn	1	0.000074
委实	d	1	0.000074
未来	t	1	0.000074
位于	v	1	0.000074
文本	n	1	0.000074
文化	n	1	0.000074
稳定	a	1	0.000074
我们	rr	1	0.000074
无法	v	1	0.000074
无力	vi	1	0.000074
无需	v	1	0.000074
物流	n	1	0.000074
务工人员	n	1	0.000074
误导	v	1	0.000074
误解	n	1	0.000074
吸引	v	1	0.000074
希望	v	1	0.000074
习近平	nr	1	0.000074
系统	ad	1	0.000074
辖区	n	1	0.000074
下半年	t	1	0.000074
下发	v	1	0.000074
下行	vi	1	0.000074
现有	v	1	0.000074
现有	vn	1	0.000074
限定	vn	1	0.000074
相对	d	1	0.000074
相符	vi	1	0.000074
相应	vd	1	0.000074
享受	v	1	0.000074
享有	v	1	0.000074
消防	b	1	0.000074
效率	n	1	0.000074
协助	v	1	0.000074
新国展	nr	1	0.000074
新建	vn	1	0.000074
新生儿	n	1	0.000074
新生事物	nl	1	0.000074
新闻	n	1	0.000074
信托	b	1	0.000074
信息化	vn	1	0.000074
形象	n	1	0.000074
修缮	vn	1	0.000074
宣传	vn	1	0.000074
选择	v	1	0.000074
选址	vn	1	0.000074
巡查	vn	1	0.000074
压力	n	1	0.000074
压强	n	1	0.000074
严禁	v	1	0.000074
严厉	ad	1	0.000074
严密	a	1	0.000074
言论	n	1	0.000074
验尸	vi	1	0.000074
验收	vn	1	0.000074
验算	vn	1	0.000074
养护	v	1	0.000074
养老	vn	1	0.000074
邀请	v	1	0.000074
谣言	n	1	0.000074
要求	v	1	0.000074
业内人士	n	1	0.000074
一般	ad	1	0.000074
一次性	b	1	0.000074
一律	d	1	0.000074
一致	an	1	0.000074
遗忘	v	1	0.000074
仪器	n	1	0.000074
疑问	n	1	0.000074
以免	c	1	0.000074
以前	f	1	0.000074
意味	n	1	0.000074
意味着	v	1	0.000074
意义	n	1	0.000074
因此	c	1	0.000074
因地制宜	vl	1	0.000074
因为	p	1	0.000074
银行	n	1	0.000074
引导	vn	1	0.000074
引来	v	1	0.000074
引起	v	1	0.000074
应对	v	1	0.000074
应急	vn	1	0.000074
应用	vn	1	0.000074
营业	vn	1	0.000074
影响	vn	1	0.000074
踊跃	ad	1	0.000074
用途	n	1	0.000074
优化	v	1	0.000074
优惠	vn	1	0.000074
优美	a	1	0.000074
由于	c	1	0.000074
有关	p	1	0.000074
有人	r	1	0.000074
有所	v	1	0.000074
有效	a	1	0.000074
有序	ad	1	0.000074
舆情	n	1	0.000074
予以	vx	1	0.000074
预案	n	1	0.000074
原本	d	1	0.000074
原件	n	1	0.000074
园林	n	1	0.000074
远程	b	1	0.000074
约定	v	1	0.000074
运维	nr2	1	0.000074
运行	vi	1	0.000074
载入	v	1	0.000074
在内	u	1	0.000074
责任人	n	1	0.000074
怎样	ryv	1	0.000074
增强	v	1	0.000074
扎扎实实	z	1	0.000074
诈骗	vn	1	0.000074
展览	vn	1	0.000074
战略	n	1	0.000074
召开	v	1	0.000074
真实	a	1	0.000074
针对性	n	1	0.000074
征收	v	1	0.000074
争创	v	1	0.000074
争取	v	1	0.000074
争议	vn	1	0.000074
整体	n	1	0.000074
正常	a	1	0.000074
政发	vn	1	0.000074
政务	n	1	0.000074
政治	n	1	0.000074
证券	n	1	0.000074
支出	v	1	0.000074
肢解	v	1	0.000074
之前	f	1	0.000074
职工	n	1	0.000074
职业	n	1	0.000074
职责	n	1	0.000074
执法	vi	1	0.000074
指定	v	1	0.000074
指定	vn	1	0.000074
指挥部	n	1	0.000074
至少	d	1	0.000074
滞销	vi	1	0.000074
中共中央	nt	1	0.000074
中关村	ns	1	0.000074
中国人民银行	nt	1	0.000074
重要性	n	1	0.000074
逐个	d	1	0.000074
主动性	n	1	0.000074
主体	n	1	0.000074
住宅楼	n	1	0.000074
注入	v	1	0.000074
专业	n	1	0.000074
着力	vi	1	0.000074
着眼	vi	1	0.000074
资本金	n	1	0.000074
资产	n	1	0.000074
仔细	ad	1	0.000074
自从	p	1	0.000074
自觉性	n	1	0.000074
自然灾害	nl	1	0.000074
自用	vi	1	0.000074
自主	vd	1	0.000074
总结	v	1	0.000074
总站	n	1	0.000074
走势	n	1	0.000074
租房	v	1	0.000074
租金	n	1	0.000074
遵循	v	1	0.000074
昨日	t	1	0.000074
做出	v	1	0.000074
作为	v	1	0.000074
总词数为：2181, 所有词的平均频率为：6.213205			
